Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,week,RH,Trange
1,2007-05-24,88.0,63.0,75.5,54.0,63.0,0.0,11.0,0.02,29.41,30.11,14.9,21.0,17.3,21,47.19770234834596,25.0
2,2007-05-24,88.0,66.0,77.0,53.0,63.0,0.0,12.0,0.14724466463414634,29.47,30.1,13.8,20.0,15.2,21,43.285691086399886,22.0
1,2007-05-25,70.0,56.0,63.0,44.0,53.0,2.0,0.0,0.14724466463414634,29.51,30.24,4.9,5.0,8.8,21,49.84159040609186,14.0
2,2007-05-25,66.0,57.0,61.5,46.0,53.0,3.0,0.0,0.09,29.57,30.23,4.5,5.0,8.2,21,56.70246952870019,9.0
1,2007-05-26,65.0,49.0,57.0,55.0,56.0,8.0,0.0,1.01,29.36,30.11,2.8,17.0,7.2,21,93.00883719986737,16.0
2,2007-05-26,70.0,50.0,60.0,55.0,57.0,5.0,0.0,0.28,29.42,30.1,2.5,15.0,7.8,21,83.52505989004503,20.0
1,2007-05-27,75.0,57.0,66.0,47.0,56.0,0.0,1.0,0.04,29.34,30.06,8.9,26.0,9.5,21,50.29229115862627,18.0
2,2007-05-27,75.0,59.0,67.0,49.0,57.0,0.0,2.0,0.08,29.41,30.05,8.2,24.0,9.2,21,52.36594383575726,16.0
1,2007-05-28,79.0,50.0,64.5,47.0,56.0,0.0,0.0,0.14724466463414634,29.43,30.15,4.8,10.0,5.3,22,52.989661348894536,29.0
2,2007-05-28,76.0,54.0,65.0,49.0,57.0,0.0,0.0,0.0,29.49,30.14,4.7,8.0,5.2,22,56.13141013840536,22.0
1,2007-05-29,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,22,57.36879214984288,28.0
2,2007-05-29,88.0,65.0,76.5,59.0,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4,22,54.69940977805267,23.0
1,2007-05-30,87.0,66.0,76.5,58.0,65.0,0.0,12.0,0.0,29.31,30.04,10.3,19.0,10.6,22,52.77322617463327,21.0
2,2007-05-30,89.0,70.0,79.5,57.0,66.0,0.0,15.0,0.0,29.38,30.03,9.7,17.0,10.1,22,46.10580577170412,19.0
1,2007-05-31,78.0,65.0,71.5,61.0,65.0,0.0,7.0,0.01,29.28,30.0,9.3,19.0,9.9,22,69.47432280391081,13.0
2,2007-05-31,80.0,68.0,74.0,61.0,66.0,0.0,9.0,0.53,29.34,29.99,8.9,18.0,9.2,22,63.85321833711421,12.0
1,2007-06-01,85.0,62.0,73.5,63.0,66.0,0.0,9.0,0.19,29.19,29.91,4.2,17.0,6.4,22,69.6875095644548,23.0
2,2007-06-01,86.0,67.0,76.5,63.0,67.0,0.0,12.0,0.21,29.25,29.9,4.7,16.0,5.8,22,63.036940118550575,19.0
1,2007-06-02,81.0,65.0,73.0,63.0,67.0,0.0,8.0,0.04,29.03,29.77,6.5,22.0,7.4,22,70.87089690607739,16.0
2,2007-06-02,81.0,68.0,74.5,62.0,67.0,0.0,10.0,0.14724466463414634,29.1,29.76,7.5,21.0,8.2,22,65.05342383061097,13.0
1,2007-06-03,78.0,62.0,70.0,60.0,63.0,0.0,5.0,0.01,28.82,29.56,5.2,25.0,6.7,22,70.55990715762363,16.0
2,2007-06-03,77.0,64.0,70.5,60.0,64.0,0.0,6.0,0.32,28.87,29.54,4.9,24.0,7.2,22,69.36695841447835,13.0
1,2007-06-04,71.0,58.0,64.5,58.0,60.0,0.0,0.0,0.39,28.82,29.52,7.8,31.0,9.7,23,79.42985209931773,13.0
2,2007-06-04,72.0,56.0,64.0,57.0,60.0,1.0,0.0,0.31,28.88,29.51,7.9,30.0,10.1,23,77.9727683279775,16.0
1,2007-06-05,64.0,47.0,55.5,48.0,51.0,9.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,23,75.81546371687585,17.0
2,2007-06-05,63.0,51.0,57.0,47.0,52.0,8.0,0.0,0.27,29.16,29.78,6.2,3.0,8.1,23,69.15818623814671,12.0
1,2007-06-06,71.0,44.0,57.5,48.0,55.0,7.0,0.0,0.01,29.07,29.81,10.8,17.0,11.4,23,70.52611901443444,27.0
2,2007-06-06,73.0,48.0,60.5,47.0,55.0,4.0,0.0,0.14724466463414634,29.13,29.82,9.6,15.0,10.6,23,61.01125709678822,25.0
1,2007-06-07,91.0,71.0,81.0,62.0,69.0,0.0,16.0,0.0,28.84,29.55,22.7,20.0,23.1,23,52.47550009737232,20.0
2,2007-06-07,92.0,71.0,81.5,61.0,68.0,0.0,17.0,0.0,28.91,29.55,20.3,19.0,20.7,23,49.83238532996033,21.0
1,2007-06-08,81.0,57.0,69.0,53.0,61.0,0.0,4.0,0.0,29.18,29.85,10.9,28.0,13.8,23,56.686850696229826,24.0
2,2007-06-08,81.0,63.0,72.0,54.0,62.0,0.0,7.0,0.0,29.24,29.83,9.3,26.0,12.4,23,53.08915754692025,18.0
1,2007-06-09,79.0,52.0,65.5,47.0,57.0,0.0,1.0,0.0,29.36,30.07,0.3,33.0,5.0,23,51.17391359405574,27.0
2,2007-06-09,79.0,57.0,68.0,49.0,58.0,0.0,3.0,0.0,29.42,30.05,2.4,19.0,4.7,23,50.59013056579321,22.0
1,2007-06-10,81.0,55.0,68.0,51.0,59.0,0.0,3.0,0.0,29.34,30.05,4.8,17.0,5.6,23,54.497276281177406,26.0
2,2007-06-10,81.0,61.0,71.0,50.0,60.0,0.0,6.0,0.0,29.39,30.04,4.6,16.0,5.8,23,47.38959457661924,20.0
1,2007-06-11,86.0,58.0,72.0,52.0,61.0,0.0,7.0,0.0,29.41,30.11,4.9,11.0,6.9,24,49.33072796792948,28.0
2,2007-06-11,85.0,65.0,75.0,51.0,61.0,0.0,10.0,0.0,29.47,30.09,6.6,9.0,8.4,24,42.97700637975792,20.0
1,2007-06-12,83.0,62.0,72.5,50.0,60.0,0.0,8.0,0.0,29.44,30.16,8.3,5.0,8.8,24,45.040800148659045,21.0
2,2007-06-12,82.0,66.0,74.0,51.0,61.0,0.0,9.0,0.0,29.49,30.14,9.4,5.0,10.0,24,44.44124230610644,16.0
1,2007-06-13,87.0,60.0,73.5,53.0,62.0,0.0,9.0,0.0,29.36,30.09,7.2,5.0,8.6,24,48.65321799711319,27.0
2,2007-06-13,86.0,68.0,77.0,53.0,62.0,0.0,12.0,0.0,29.28442857142857,29.96812947189097,7.0,5.0,8.580448826929615,24,43.285691086399886,18.0
1,2007-06-14,89.0,64.0,76.5,55.0,64.0,0.0,12.0,0.0,29.3,30.02,5.6,5.0,6.8,24,47.34800172422513,25.0
2,2007-06-14,89.0,68.0,78.5,54.0,63.0,0.0,14.0,0.0,29.36,30.0,5.9,7.0,6.4,24,42.72881159275025,21.0
1,2007-06-15,91.0,63.0,77.0,56.0,64.0,0.0,12.0,0.0,29.28,29.99,4.1,6.0,4.9,24,48.29099965563686,28.0
2,2007-06-15,89.0,67.0,78.0,56.0,65.0,0.0,13.0,0.0,29.34,29.97,3.8,9.0,4.1,24,46.71927056208743,22.0
1,2007-06-16,93.0,66.0,79.5,60.0,67.0,0.0,15.0,0.14724466463414634,29.26,29.97,4.8,28.0,5.8,24,51.340847748380135,27.0
2,2007-06-16,92.0,68.0,80.0,61.0,68.0,0.0,15.0,0.14724466463414634,29.33,29.96,2.1,22.0,6.1,24,52.333551547067955,24.0
1,2007-06-17,91.0,70.0,80.5,64.0,70.0,0.0,16.0,0.0,29.23,29.95,2.8,11.0,6.3,24,57.225538838781354,21.0
2,2007-06-17,91.0,71.0,81.0,65.0,70.0,0.0,16.0,0.16,29.28,29.93,4.0,11.0,6.1,24,58.300877006286115,20.0
1,2007-06-18,89.0,69.0,79.0,65.0,70.0,0.0,14.0,0.28,29.12,29.84,14.0,20.0,15.1,25,62.247329201951004,20.0
2,2007-06-18,89.0,73.0,81.0,65.0,70.0,0.0,16.0,0.02,29.19,29.83,12.2,20.0,12.6,25,58.300877006286115,16.0
1,2007-06-19,80.0,65.0,72.5,55.0,63.0,0.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4,25,54.138063623137214,15.0
2,2007-06-19,81.0,65.0,73.0,55.0,63.0,0.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3,25,53.23220547500601,16.0
1,2007-06-20,84.0,61.0,72.5,52.0,61.0,0.0,8.0,0.0,29.39,30.1,7.8,27.0,8.8,25,48.50359675412502,23.0
2,2007-06-20,85.0,62.0,73.5,50.0,61.0,0.0,9.0,0.0,29.46,30.09,5.9,28.0,7.7,25,43.54766308213417,23.0
1,2007-06-21,77.0,61.0,69.0,51.0,60.0,0.0,4.0,0.01,29.36,30.08,3.5,3.0,10.7,25,52.65682980666182,16.0
2,2007-06-21,80.0,66.0,73.0,51.0,61.0,0.0,8.0,0.14724466463414634,29.41,30.06,3.7,2.0,9.6,25,45.9617900026378,14.0
1,2007-06-22,76.0,61.0,68.5,50.0,58.0,0.0,4.0,0.14724466463414634,29.33,30.06,7.8,6.0,8.7,25,51.616410765947215,15.0
2,2007-06-22,75.0,62.0,68.5,49.0,58.0,0.0,4.0,0.14724466463414634,29.39,30.05,6.5,7.0,8.1,25,49.727645884328986,13.0
1,2007-06-23,67.0,62.0,64.5,58.0,61.0,0.0,0.0,0.05,29.23,29.96,7.6,12.0,9.0,25,79.42985209931773,5.0
2,2007-06-23,68.0,61.0,64.5,60.0,62.0,0.0,0.0,0.34,29.28,29.95,7.3,11.0,8.1,25,85.32080970418542,7.0
1,2007-06-24,77.0,63.0,70.0,62.0,65.0,0.0,5.0,0.0,29.26,29.97,7.0,9.0,8.0,25,75.74671784055894,14.0
2,2007-06-24,75.0,65.0,70.0,62.0,65.0,0.0,5.0,0.0,29.33,29.96,5.6,10.0,6.0,25,75.74671784055894,10.0
1,2007-06-25,89.0,65.0,77.0,66.0,70.0,0.0,12.0,0.0,29.38,30.07,3.9,14.0,6.8,26,68.85131182953751,24.0
2,2007-06-25,86.0,67.0,76.5,67.0,70.0,0.0,12.0,0.0,29.44,30.06,4.0,12.0,5.9,26,72.47132413356826,19.0
1,2007-06-26,92.0,70.0,81.0,69.0,72.0,0.0,16.0,0.16,29.39,30.11,6.1,22.0,7.1,26,66.9476486991263,22.0
2,2007-06-26,91.0,73.0,82.0,69.0,72.0,0.0,17.0,0.14724466463414634,29.45,30.09,7.3,21.0,8.1,26,64.80371344799588,18.0
1,2007-06-27,91.0,71.0,81.0,70.0,72.0,0.0,16.0,0.15,29.29,30.02,7.5,24.0,8.8,26,69.27758930469994,20.0
2,2007-06-27,89.0,71.0,80.0,69.0,72.0,0.0,15.0,0.35,29.36,30.0,7.9,24.0,8.5,26,69.17177159414872,18.0
1,2007-06-28,74.0,58.0,66.0,55.0,60.0,0.0,1.0,0.0,29.41,30.09,11.9,3.0,12.5,26,67.63664253243361,16.0
2,2007-06-28,73.0,61.0,67.0,56.0,61.0,0.0,2.0,0.14724466463414634,29.43,30.07,12.2,2.0,13.3,26,67.74970265494606,12.0
1,2007-06-29,70.0,56.0,63.0,55.0,59.0,2.0,0.0,0.0,29.41,30.13,7.6,2.0,8.3,26,75.11151657294913,14.0
2,2007-06-29,71.0,56.0,63.5,56.0,60.0,1.0,0.0,0.14724466463414634,29.47,30.11,7.4,2.0,8.2,26,76.53334149863042,15.0
1,2007-06-30,79.0,54.0,66.5,46.0,56.0,0.0,2.0,0.0,29.41,30.13,4.9,3.0,5.8,26,47.595405414353415,25.0
2,2007-06-30,77.0,58.0,67.5,49.0,58.0,0.0,3.0,0.0,29.46,30.11,5.1,4.0,6.2,26,51.46944225761633,19.0
1,2007-07-01,75.0,54.0,64.5,52.0,58.0,0.0,0.0,0.0,29.51,30.23,8.6,4.0,8.6,26,63.84736676531237,21.0
2,2007-07-01,76.0,61.0,68.5,51.0,59.0,0.0,4.0,0.0,29.56,30.21,9.5,4.0,9.7,26,53.56818071553322,15.0
1,2007-07-02,79.0,53.0,66.0,50.0,58.0,0.0,1.0,0.0,29.49,30.22,5.9,14.0,8.1,27,56.27110197801161,26.0
2,2007-07-02,77.0,58.0,67.5,50.0,59.0,0.0,3.0,0.0,29.55,30.21,7.4,12.0,8.5,27,53.42436437958427,19.0
1,2007-07-03,83.0,60.0,71.5,57.0,63.0,0.0,7.0,0.4,29.31,30.06,6.7,21.0,7.3,27,60.21171984709242,23.0
2,2007-07-03,83.0,63.0,73.0,56.0,63.0,0.0,8.0,0.09,29.38,30.05,6.4,21.0,7.4,27,55.200930061577466,20.0
1,2007-07-04,86.0,67.0,76.5,65.0,69.0,0.0,12.0,0.16,29.18,29.9,4.6,27.0,8.2,27,67.60972653143484,19.0
2,2007-07-04,84.0,67.0,75.5,65.0,69.0,0.0,11.0,0.66,29.23,29.88,3.1,25.0,8.8,27,69.89865929131373,17.0
1,2007-07-05,89.0,71.0,80.0,60.0,67.0,0.0,15.0,0.0,29.24,29.94,6.4,31.0,8.1,27,50.506158550756396,18.0
2,2007-07-05,88.0,70.0,79.0,60.0,67.0,0.0,14.0,0.0,29.29,29.92,4.3,33.0,6.9,27,52.19109419072684,18.0
1,2007-07-06,86.0,66.0,76.0,57.0,64.0,0.0,11.0,0.0,29.32,30.03,3.2,5.0,5.5,27,51.76065673239512,20.0
2,2007-07-06,84.0,68.0,76.0,57.0,65.0,0.0,11.0,0.0,29.38,30.01,3.3,7.0,5.5,27,51.76065673239512,16.0
1,2007-07-07,90.0,64.0,77.0,63.0,69.0,0.0,12.0,0.0,29.18,29.91,8.4,22.0,8.6,27,61.99943468829765,26.0
2,2007-07-07,88.0,68.0,78.0,62.0,68.0,0.0,13.0,0.0,29.24,29.9,7.4,23.0,8.1,27,57.904610033841074,20.0
1,2007-07-08,94.0,75.0,84.5,67.0,72.0,0.0,20.0,0.0,29.05,29.77,12.9,24.0,13.1,27,55.7969021402246,19.0
2,2007-07-08,93.0,75.0,84.0,67.0,72.0,0.0,19.0,0.0,29.12,29.76,12.6,23.0,12.7,27,56.702052433516606,18.0
1,2007-07-09,94.0,70.0,82.0,66.0,70.0,0.0,17.0,0.3,29.11,29.8,4.9,24.0,8.8,28,58.43191052377349,24.0
2,2007-07-09,93.0,72.0,82.5,67.0,71.0,0.0,18.0,0.24,29.16,29.79,4.8,23.0,8.8,28,59.518316779623795,21.0
1,2007-07-10,89.0,69.0,79.0,67.0,70.0,0.0,14.0,0.43,29.06,29.77,8.6,23.0,10.5,28,66.72333408930567,20.0
2,2007-07-10,89.0,70.0,79.5,67.0,71.0,0.0,15.0,0.08,29.13,29.76,8.2,23.0,10.2,28,65.63634255730933,19.0
1,2007-07-11,77.0,62.0,69.5,51.0,59.0,0.0,5.0,0.0,29.23,29.93,8.8,30.0,10.9,28,51.762850380194955,15.0
2,2007-07-11,77.0,63.0,70.0,51.0,59.0,0.0,5.0,0.0,29.28,29.92,9.1,30.0,11.2,28,50.88587779810227,14.0
1,2007-07-12,80.0,61.0,70.5,51.0,59.0,0.0,6.0,0.0,29.22,29.93,9.4,29.0,11.1,28,50.02555574825202,19.0
2,2007-07-12,80.0,60.0,70.0,51.0,60.0,0.0,5.0,0.0,29.28,29.92,10.0,28.0,11.4,28,50.88587779810227,20.0
1,2007-07-13,78.0,58.0,68.0,52.0,58.0,0.0,3.0,0.0,29.26,29.98,1.4,1.0,5.3,28,56.54882032643535,20.0
2,2007-07-13,74.0,59.0,66.5,53.0,59.0,0.0,2.0,0.0,29.33,29.98,2.0,7.0,5.8,28,61.787537758349906,15.0
1,2007-07-14,84.0,61.0,72.5,55.0,62.0,0.0,8.0,0.0,29.08,29.79,8.3,26.0,13.2,28,54.138063623137214,23.0
2,2007-07-14,85.0,62.0,73.5,55.0,62.0,0.0,9.0,0.0,29.14,29.79,8.4,25.0,13.9,28,52.34334529578098,23.0
1,2007-07-15,82.0,60.0,71.0,53.0,61.0,0.0,6.0,0.0,29.19,29.89,2.1,29.0,4.9,28,52.9455799128056,22.0
2,2007-07-15,80.0,64.0,72.0,52.0,61.0,0.0,7.0,0.0,29.25,29.88,1.2,9.0,6.5,28,49.33072796792948,16.0
1,2007-07-16,82.0,65.0,73.5,60.0,65.0,0.0,9.0,0.39,29.25,29.96,4.4,24.0,5.2,29,62.66783330019442,17.0
2,2007-07-16,82.0,66.0,74.0,60.0,65.0,0.0,9.0,0.07,29.31,29.94,5.6,23.0,6.6,29,61.62357940507553,16.0
1,2007-07-17,83.0,68.0,75.5,66.0,69.0,0.0,11.0,0.11,29.18,29.9,5.2,23.0,6.5,29,72.37345072022097,15.0
2,2007-07-17,83.0,69.0,76.0,65.0,69.0,0.0,11.0,0.11,29.24,29.89,6.3,23.0,7.4,29,68.74348058795903,14.0
1,2007-07-18,85.0,69.0,77.0,68.0,71.0,0.0,12.0,1.55,29.11,29.84,9.1,24.0,10.1,29,73.78055835142726,16.0
2,2007-07-18,85.0,69.0,77.0,69.0,71.0,0.0,12.0,0.92,29.18,29.83,10.3,24.0,10.6,29,76.35931535226167,16.0
1,2007-07-19,83.0,63.0,73.0,63.0,66.0,0.0,8.0,0.16,29.21,29.9,7.0,1.0,11.9,29,70.87089690607739,20.0
2,2007-07-19,82.0,63.0,72.5,62.0,66.0,0.0,8.0,0.01,29.26,29.88,7.7,36.0,14.4,29,69.5811722340104,19.0
1,2007-07-20,75.0,58.0,66.5,53.0,59.0,0.0,2.0,0.0,29.44,30.14,8.6,3.0,9.1,29,61.787537758349906,17.0
2,2007-07-20,74.0,62.0,68.0,52.0,59.0,0.0,3.0,0.0,29.49,30.12,11.3,4.0,11.5,29,56.54882032643535,12.0
1,2007-07-21,74.0,58.0,66.0,52.0,58.0,0.0,1.0,0.0,29.51,30.22,6.5,3.0,7.4,29,60.59729912087231,16.0
2,2007-07-21,75.0,58.0,66.5,52.0,59.0,0.0,2.0,0.0,29.57,30.21,5.8,4.0,7.4,29,59.55551988593967,17.0
1,2007-07-22,81.0,58.0,69.5,55.0,61.0,0.0,5.0,0.0,29.49,30.21,1.7,16.0,3.3,29,59.950900242405545,23.0
2,2007-07-22,81.0,61.0,71.0,54.0,61.0,0.0,6.0,0.0,29.54,30.2,1.9,18.0,3.5,29,54.92109027968242,20.0
1,2007-07-23,83.0,60.0,71.5,55.0,63.0,0.0,7.0,0.0,29.37,30.1,3.2,9.0,4.0,30,56.00222048782242,23.0
2,2007-07-23,82.0,63.0,72.5,55.0,63.0,0.0,8.0,0.0,29.42,30.09,2.9,12.0,3.9,30,54.138063623137214,19.0
1,2007-07-24,82.0,65.0,73.5,58.0,64.0,0.0,9.0,0.0,29.32,30.04,3.1,20.0,5.2,30,58.34094575142036,17.0
2,2007-07-24,82.0,65.0,73.5,57.0,64.0,0.0,9.0,0.14724466463414634,29.38,30.03,1.1,21.0,4.9,30,56.27781926065797,17.0
1,2007-07-25,85.0,71.0,78.0,61.0,67.0,0.0,13.0,0.14724466463414634,29.29,30.0,5.8,25.0,6.6,30,55.89116901040809,14.0
2,2007-07-25,83.0,70.0,76.5,60.0,66.0,0.0,12.0,0.0,29.35,29.99,6.4,23.0,7.0,30,56.687180813226,13.0
1,2007-07-26,83.0,66.0,74.5,65.0,68.0,0.0,10.0,0.19,29.19,29.92,7.2,22.0,9.4,30,72.2750932253844,17.0
2,2007-07-26,84.0,64.0,74.0,65.0,68.0,0.0,9.0,0.89,29.25,29.91,7.2,22.0,9.9,30,73.49727560438572,20.0
1,2007-07-27,83.0,70.0,76.5,68.0,70.0,0.0,12.0,0.17,29.11,29.82,3.0,3.0,7.9,30,75.0152104143298,13.0
2,2007-07-27,83.0,70.0,76.5,67.0,70.0,0.0,12.0,0.04,29.16,29.8,1.2,36.0,8.1,30,72.47132413356826,13.0
1,2007-07-28,80.0,66.0,73.0,65.0,68.0,0.0,8.0,0.0,29.23,29.93,10.0,3.0,10.2,30,76.01196932855785,14.0
2,2007-07-28,80.0,70.0,75.0,65.0,68.0,0.0,10.0,0.0,29.28,29.91,10.6,3.0,10.7,30,71.07571072806151,10.0
1,2007-07-29,85.0,63.0,74.0,57.0,64.0,0.0,9.0,0.0,29.28,29.99,4.8,5.0,5.7,30,55.34004418727664,22.0
2,2007-07-29,85.0,67.0,76.0,56.0,64.0,0.0,11.0,0.0,29.34,29.97,6.3,5.0,6.9,30,49.922454287730936,18.0
1,2007-07-30,89.0,62.0,75.5,55.0,64.0,0.0,11.0,0.0,29.33,30.03,3.8,6.0,4.3,31,48.95097215202286,27.0
2,2007-07-30,86.0,65.0,75.5,57.0,65.0,0.0,11.0,0.0,29.39,30.01,3.1,6.0,4.6,31,52.630452788944936,21.0
